market,name,status,http_code,content_type,bytes,path,sha256,url
intl,ETSI EN 300 328 宽带传输设备,ok,200,application/pdf,1571870,intl/ETSI_EN_300_328_宽带传输设备.pdf,35211bae77e40e835908d1b8757e82bbbb8895aee71d5e0a0a22131d4101a376,https://www.etsi.org/deliver/etsi_en/300300_300399/300328/02.02.02_60/en_300328v020202p.pdf
intl,ETSI EN 300 330 短距离射频设备,http_404,404,,0,,,https://www.etsi.org/deliver/etsi_en/300300_300399/30033002/07.01.01_60/en_30033002v070101p.pdf
intl,ETSI EN 300 440 短距离设备 1-40GHz,http_404,404,,0,,,https://www.etsi.org/deliver/etsi_en/300400_300499/30044002/02.02.01_60/en_30044002v020201p.pdf
intl,ETSI EN 301 489-1 EMC 通用要求,ok,200,application/pdf,206923,intl/ETSI_EN_301_489-1_EMC_通用要求.pdf,b616362dbee141e4670dd664f141e8e51323ea19dd41652d43d399c8db849d24,https://www.etsi.org/deliver/etsi_en/301400_301499/30148901/02.02.03_60/en_30148901v020203p.pdf
intl,ETSI EN 301 489-17 EMC 宽带设备,http_404,404,,0,,,https://www.etsi.org/deliver/etsi_en/301400_301499/30148917/03.02.01_60/en_30148917v030201p.pdf
intl,ETSI EN 301 489-3 EMC 短距离设备,ok,200,application/pdf,89891,intl/ETSI_EN_301_489-3_EMC_短距离设备.pdf,7a27e157d871f6d222fc65839a48133f1e4bef47d451aee042955a58735d743d,https://www.etsi.org/deliver/etsi_en/301400_301499/30148903/02.01.01_60/en_30148903v020101p.pdf
intl,ETSI EN 301 893 5GHz RLAN,ok,200,application/pdf,2131741,intl/ETSI_EN_301_893_5GHz_RLAN.pdf,3c948ee36b3775678b520dbd7e86ea1be084fe6467307c3d6b8f35fbea6ee57e,https://www.etsi.org/deliver/etsi_en/301800_301899/301893/02.01.01_60/en_301893v020101p.pdf
intl,ETSI EN 301 908 蜂窝基站,ok,200,application/pdf,138460,intl/ETSI_EN_301_908_蜂窝基站.pdf,beb769b68d59a309b8d5f275ee8b5d5f16d9a6463b0812e4b9d53098bba1ffdc,https://www.etsi.org/deliver/etsi_en/301900_301999/30190801/07.01.01_60/en_30190801v070101p.pdf
intl,ETSI EN 303 645 消费物联网网络安全,ok,200,application/pdf,887793,intl/ETSI_EN_303_645_消费物联网网络安全.pdf,4a484c2e3a7c746cd1d655ae39b617f970696f34860266598b2b1b775d7a7bd3,https://www.etsi.org/deliver/etsi_en/303600_303699/303645/02.01.01_60/en_303645v020101p.pdf
intl,ETSI EN 55032 EMC 多媒体设备发射,http_404,404,,0,,,https://www.etsi.org/deliver/etsi_en/55000_55999/55032/02.01.00_60/en_55032v020100p.pdf
